Niter,Jacobi,Gauss-Seidel,Relaxation
188.000000,-0.035244,-0.052186,-0.051254
189.000000,-0.035349,-0.052346,-0.051411
190.000000,-0.035454,-0.052507,-0.051568
191.000000,-0.035558,-0.052667,-0.051725
192.000000,-0.035662,-0.052827,-0.051882
193.000000,-0.035766,-0.052986,-0.052038
194.000000,-0.035870,-0.053145,-0.052194
195.000000,-0.035974,-0.053304,-0.052350
196.000000,-0.036077,-0.053463,-0.052505
197.000000,-0.036180,-0.053621,-0.052660
198.000000,-0.036283,-0.053779,-0.052815
199.000000,-0.036386,-0.053937,-0.052970
200.000000,-0.036489,-0.054094,-0.053124
201.000000,-0.036591,-0.054251,-0.053278
202.000000,-0.036693,-0.054408,-0.053432
203.000000,-0.036795,-0.054565,-0.053585
204.000000,-0.036897,-0.054721,-0.053738
205.000000,-0.036998,-0.054877,-0.053891
206.000000,-0.037099,-0.055033,-0.054044
207.000000,-0.037200,-0.055188,-0.054196
208.000000,-0.037301,-0.055343,-0.054348
209.000000,-0.037402,-0.055498,-0.054500
210.000000,-0.037503,-0.055653,-0.054652
211.000000,-0.037603,-0.055808,-0.054803
212.000000,-0.037703,-0.055962,-0.054954
213.000000,-0.037803,-0.056116,-0.055105
214.000000,-0.037903,-0.056270,-0.055256
215.000000,-0.038002,-0.056423,-0.055406
216.000000,-0.038102,-0.056576,-0.055556
217.000000,-0.038201,-0.056729,-0.055706
218.000000,-0.038300,-0.056882,-0.055856
219.000000,-0.038399,-0.057034,-0.056005
220.000000,-0.038497,-0.057187,-0.056154
221.000000,-0.038596,-0.057338,-0.056303
222.000000,-0.038694,-0.057490,-0.056452
223.000000,-0.038792,-0.057642,-0.056600
224.000000,-0.038890,-0.057793,-0.056749
225.000000,-0.038988,-0.057944,-0.056897
226.000000,-0.039086,-0.058095,-0.057044
227.000000,-0.039183,-0.058245,-0.057192
228.000000,-0.039280,-0.058396,-0.057339
229.000000,-0.039377,-0.058546,-0.057486
230.000000,-0.039474,-0.058696,-0.057633
231.000000,-0.039571,-0.058846,-0.057780
232.000000,-0.039668,-0.058995,-0.057926
